cnt	line1	line2	line3	line4
234447	trunc <- phi	and <- trunc	zext <- and	add <- phi
234447	and <- trunc	zext <- and	add <- phi	add <- zext
234447	zext <- and	add <- phi	add <- zext	lshr <- phi
234447	add <- phi	add <- zext	lshr <- phi	add <- phi
234447	add <- zext	lshr <- phi	add <- phi	icmp <- phi
234447	lshr <- phi	add <- phi	icmp <- phi	icmp <- add
234447	add <- phi	icmp <- phi	icmp <- add	select <- icmp
234447	icmp <- phi	icmp <- add	select <- icmp	select <- icmp
234447	icmp <- add	select <- icmp	select <- icmp	br <- select
217822	select <- icmp	select <- icmp	br <- select	trunc <- phi
217822	select <- icmp	br <- select	trunc <- phi	and <- trunc
217822	br <- select	trunc <- phi	and <- trunc	zext <- and
84071	icmp <- and	icmp <- and	or <- icmp	or <- icmp
56660	icmp <- and	or <- icmp	or <- icmp	br <- or
42840	icmp <- and	icmp <- and	and <- icmp	and <- icmp
38819	or <- icmp	or <- icmp	br <- or	icmp <- and
31314	or <- icmp	br <- or	icmp <- and	icmp <- and
29714	icmp <- and	and <- icmp	and <- icmp	br <- and
23575	br <- or	icmp <- and	icmp <- and	or <- icmp
21975	and <- icmp	and <- icmp	br <- and	icmp <- and
20204	and <- icmp	br <- and	icmp <- and	icmp <- and
20047	zext <- and	icmp <- and	icmp <- and	or <- icmp
20047	icmp <- and	or <- icmp	or <- icmp	or <- zext
20047	or <- icmp	or <- icmp	or <- zext	select <- or
20047	or <- icmp	or <- zext	select <- or	select <- or
20047	or <- zext	select <- or	select <- or	select <- zext
20046	icmp <- and	and <- icmp	and <- icmp	and <- lshr
18275	and <- icmp	and <- icmp	and <- lshr	add <- and
16625	icmp <- phi	zext <- icmp	add <- phi	add <- zext
16625	zext <- icmp	add <- phi	add <- zext	select <- icmp
16625	add <- phi	add <- zext	select <- icmp	select <- phi
16625	add <- zext	select <- icmp	select <- phi	icmp <- add
16625	select <- icmp	select <- phi	icmp <- add	br <- icmp
16625	select <- phi	icmp <- add	br <- icmp	icmp <- select
16625	icmp <- add	br <- icmp	icmp <- select	br <- icmp
16625	br <- icmp	icmp <- select	br <- icmp	trunc <- select
16625	icmp <- select	br <- icmp	trunc <- select	and <- trunc
16625	br <- icmp	trunc <- select	and <- trunc	shl <- add
16625	trunc <- select	and <- trunc	shl <- add	add <- shl
16625	and <- trunc	shl <- add	add <- shl	and <- add
16625	shl <- add	add <- shl	and <- add	or <- and
16625	add <- shl	and <- add	or <- and	or <- and
16586	or <- icmp	or <- icmp	br <- or	trunc <- phi
16586	or <- icmp	br <- or	trunc <- phi	and <- trunc
16586	br <- or	trunc <- phi	and <- trunc	zext <- and
16586	select <- icmp	select <- icmp	br <- select	icmp <- phi
16586	select <- icmp	br <- select	icmp <- phi	br <- icmp
16586	br <- select	icmp <- phi	br <- icmp	icmp <- phi
16586	and <- add	or <- and	or <- and	shl <- zext
16586	or <- and	or <- and	shl <- zext	or <- phi
16586	or <- and	shl <- zext	or <- phi	or <- phi
16586	shl <- zext	or <- phi	or <- phi	ret <- or
16586	or <- phi	or <- phi	ret <- or	ret <- phi
16504	and <- icmp	and <- lshr	add <- and	select <- and
16504	and <- lshr	add <- and	select <- and	select <- add
13126	and <- select	zext <- and	and <- select	icmp <- and
13126	zext <- and	and <- select	icmp <- and	icmp <- and
13126	and <- select	icmp <- and	icmp <- and	or <- icmp
13126	icmp <- and	or <- icmp	or <- icmp	and <- select
13126	or <- icmp	or <- icmp	and <- select	icmp <- and
13126	or <- icmp	and <- select	icmp <- and	or <- zext
13126	and <- select	icmp <- and	or <- zext	select <- icmp
13126	icmp <- and	or <- zext	select <- icmp	select <- zext
13126	or <- zext	select <- icmp	select <- zext	select <- or
13126	select <- icmp	select <- zext	select <- or	select <- or
13126	select <- zext	select <- or	select <- or	select <- select
13126	select <- or	select <- or	select <- select	select <- zext
13126	icmp <- and	and <- icmp	and <- icmp	or <- icmp
13126	and <- icmp	and <- icmp	or <- icmp	or <- and
13126	and <- icmp	or <- icmp	or <- and	lshr <- select
13126	or <- icmp	or <- and	lshr <- select	and <- lshr
13126	or <- and	lshr <- select	and <- lshr	add <- and
13126	lshr <- select	and <- lshr	add <- and	select <- or
13126	and <- lshr	add <- and	select <- or	select <- add
11873	br <- and	icmp <- and	icmp <- and	and <- icmp
10843	br <- icmp	icmp <- phi	zext <- icmp	add <- phi
10804	icmp <- phi	br <- icmp	icmp <- phi	zext <- icmp
10024	or <- icmp	or <- icmp	br <- or	lshr <- xor
10024	select <- or	select <- or	select <- zext	zext <- and
10023	select <- or	select <- zext	zext <- and	icmp <- and
10023	select <- zext	zext <- and	icmp <- and	icmp <- and
10023	select <- and	select <- add	add <- select	add <- select
9932	or <- phi	ret <- or	ret <- phi	call <- call
8331	br <- and	icmp <- and	icmp <- and	or <- icmp
8253	or <- icmp	br <- or	lshr <- xor	trunc <- lshr
8253	br <- or	lshr <- xor	trunc <- lshr	zext <- and
8253	lshr <- xor	trunc <- lshr	zext <- and	icmp <- and
8253	trunc <- lshr	zext <- and	icmp <- and	icmp <- and
8252	select <- or	select <- or	select <- zext	mul <- select
8252	select <- or	select <- zext	mul <- select	mul <- select
8252	select <- zext	mul <- select	mul <- select	icmp <- and
8252	mul <- select	mul <- select	icmp <- and	and <- icmp
8252	mul <- select	icmp <- and	and <- icmp	and <- icmp
8252	add <- and	select <- and	select <- add	icmp <- and
8252	select <- and	select <- add	icmp <- and	and <- icmp
8252	select <- add	icmp <- and	and <- icmp	and <- icmp
8252	add <- and	select <- and	select <- add	add <- select
8252	select <- add	add <- select	add <- select	call <- trunc
8252	add <- select	add <- select	call <- trunc	call <- add
8252	add <- select	call <- trunc	call <- add	call <- mul
8252	call <- trunc	call <- add	call <- mul	or <- icmp
8252	call <- add	call <- mul	or <- icmp	or <- icmp
8252	call <- mul	or <- icmp	or <- icmp	br <- or
7739	br <- or	icmp <- and	icmp <- and	and <- icmp
7739	and <- icmp	and <- icmp	br <- and	and <- or
7739	and <- icmp	br <- and	and <- or	icmp <- and
7739	br <- and	and <- or	icmp <- and	or <- icmp
7739	and <- or	icmp <- and	or <- icmp	or <- icmp
7698	or <- icmp	or <- icmp	br <- or	icmp <- lshr
7698	or <- icmp	br <- or	icmp <- lshr	icmp <- lshr
7698	br <- or	icmp <- lshr	icmp <- lshr	br <- icmp
7607	icmp <- lshr	icmp <- lshr	br <- icmp	zext <- icmp
7607	icmp <- lshr	br <- icmp	zext <- icmp	xor <- lshr
7607	br <- icmp	zext <- icmp	xor <- lshr	xor <- zext
7607	zext <- icmp	xor <- lshr	xor <- zext	trunc <- xor
7607	xor <- lshr	xor <- zext	trunc <- xor	ret <- phi
7607	xor <- zext	trunc <- xor	ret <- phi	icmp <- call
7599	call <- call	call <- call	icmp <- and	icmp <- and
7587	call <- call	icmp <- and	icmp <- and	and <- icmp
7505	or <- icmp	br <- or	icmp <- and	br <- icmp
7505	br <- or	icmp <- and	br <- icmp	switch <- and
7336	icmp <- and	br <- icmp	switch <- and	icmp <- and
7336	br <- icmp	switch <- and	icmp <- and	br <- icmp
6852	ret <- phi	call <- call	call <- call	icmp <- and
6735	ret <- or	ret <- phi	call <- call	call <- call
6626	trunc <- xor	ret <- phi	icmp <- call	select <- icmp
6563	switch <- and	icmp <- and	br <- icmp	call <- and
6563	icmp <- and	br <- icmp	call <- and	call <- and
6563	br <- icmp	call <- and	call <- and	icmp <- and
6563	call <- and	call <- and	icmp <- and	icmp <- and
6563	call <- and	icmp <- and	icmp <- and	or <- icmp
6563	ret <- phi	icmp <- call	select <- icmp	select <- icmp
6563	icmp <- call	select <- icmp	select <- icmp	and <- select
6563	select <- icmp	select <- icmp	and <- select	zext <- and
6563	select <- icmp	and <- select	zext <- and	and <- select
6563	select <- or	select <- select	select <- zext	and <- select
6563	select <- select	select <- zext	and <- select	zext <- and
6563	select <- zext	and <- select	zext <- and	and <- select
6563	select <- or	select <- select	select <- zext	icmp <- and
6563	select <- select	select <- zext	icmp <- and	icmp <- and
6563	select <- zext	icmp <- and	icmp <- and	and <- icmp
6563	add <- and	select <- or	select <- add	icmp <- and
6563	select <- or	select <- add	icmp <- and	icmp <- and
6563	select <- add	icmp <- and	icmp <- and	and <- icmp
6563	add <- and	select <- or	select <- add	lshr <- select
6563	select <- or	select <- add	lshr <- select	trunc <- lshr
6563	select <- add	lshr <- select	trunc <- lshr	lshr <- select
6563	lshr <- select	trunc <- lshr	lshr <- select	icmp <- lshr
6563	trunc <- lshr	lshr <- select	icmp <- lshr	icmp <- lshr
6563	lshr <- select	icmp <- lshr	icmp <- lshr	sub <- select
6563	icmp <- lshr	icmp <- lshr	sub <- select	sub <- select
6563	icmp <- lshr	sub <- select	sub <- select	br <- icmp
5782	icmp <- phi	br <- icmp	icmp <- phi	and <- phi
5782	br <- icmp	icmp <- phi	and <- phi	icmp <- and
5782	icmp <- phi	and <- phi	icmp <- and	or <- icmp
5782	and <- phi	icmp <- and	or <- icmp	or <- icmp
5782	icmp <- and	or <- icmp	or <- icmp	zext <- or
5782	or <- icmp	or <- icmp	zext <- or	add <- phi
5782	or <- icmp	zext <- or	add <- phi	add <- zext
5782	zext <- or	add <- phi	add <- zext	icmp <- phi
5782	add <- phi	add <- zext	icmp <- phi	zext <- icmp
5782	add <- zext	icmp <- phi	zext <- icmp	add <- phi
5196	call <- call	icmp <- and	icmp <- and	or <- icmp
3748	icmp <- and	or <- icmp	or <- icmp	select <- or
3748	or <- icmp	or <- icmp	select <- or	select <- xor
3748	or <- icmp	select <- or	select <- xor	call <- select
3748	select <- or	select <- xor	call <- select	icmp <- and
3748	select <- xor	call <- select	icmp <- and	icmp <- and
3748	call <- select	icmp <- and	icmp <- and	or <- icmp
3629	sub <- select	sub <- select	br <- icmp	call <- sub
3629	sub <- select	br <- icmp	call <- sub	zext <- call
3629	br <- icmp	call <- sub	zext <- call	sub <- sub
3629	call <- sub	zext <- call	sub <- sub	sub <- call
3629	zext <- call	sub <- sub	sub <- call	call <- sub
3629	sub <- sub	sub <- call	call <- sub	zext <- call
3629	sub <- call	call <- sub	zext <- call	shl <- select
3629	call <- sub	zext <- call	shl <- select	shl <- zext
3629	zext <- call	shl <- select	shl <- zext	sub <- select
3629	shl <- select	shl <- zext	sub <- select	sub <- call
3629	shl <- zext	sub <- select	sub <- call	lshr <- select
3629	sub <- select	sub <- call	lshr <- select	lshr <- zext
3629	sub <- call	lshr <- select	lshr <- zext	add <- lshr
3629	lshr <- select	lshr <- zext	add <- lshr	add <- shl
3629	lshr <- zext	add <- lshr	add <- shl	add <- zext
3629	add <- lshr	add <- shl	add <- zext	lshr <- select
3629	add <- shl	add <- zext	lshr <- select	lshr <- add
3629	add <- zext	lshr <- select	lshr <- add	trunc <- lshr
3629	lshr <- select	lshr <- add	trunc <- lshr	and <- trunc
3629	lshr <- add	trunc <- lshr	and <- trunc	shl <- call
3629	trunc <- lshr	and <- trunc	shl <- call	xor <- shl
3629	and <- trunc	shl <- call	xor <- shl	zext <- xor
3629	shl <- call	xor <- shl	zext <- xor	and <- select
3629	xor <- shl	zext <- xor	and <- select	and <- zext
3629	zext <- xor	and <- select	and <- zext	zext <- and
3629	and <- select	and <- zext	zext <- and	trunc <- add
3629	and <- zext	zext <- and	trunc <- add	shl <- zext
3629	zext <- and	trunc <- add	shl <- zext	shl <- trunc
3629	trunc <- add	shl <- zext	shl <- trunc	zext <- shl
3629	shl <- zext	shl <- trunc	zext <- shl	icmp <- and
3629	shl <- trunc	zext <- shl	icmp <- and	icmp <- zext
3629	zext <- shl	icmp <- and	icmp <- zext	zext <- icmp
3629	icmp <- and	icmp <- zext	zext <- icmp	call <- trunc
3629	icmp <- zext	zext <- icmp	call <- trunc	call <- sub
3629	zext <- icmp	call <- trunc	call <- sub	call <- add
3629	call <- trunc	call <- sub	call <- add	call <- and
3629	call <- sub	call <- add	call <- and	call <- zext
3629	call <- add	call <- and	call <- zext	or <- icmp
3629	call <- and	call <- zext	or <- icmp	or <- icmp
3629	call <- zext	or <- icmp	or <- icmp	br <- or
2934	sub <- select	sub <- select	br <- icmp	icmp <- sub
2934	sub <- select	br <- icmp	icmp <- sub	br <- icmp
2934	br <- icmp	icmp <- sub	br <- icmp	zext <- sub
2934	icmp <- sub	br <- icmp	zext <- sub	shl <- select
2934	br <- icmp	zext <- sub	shl <- select	shl <- zext
2934	zext <- sub	shl <- select	shl <- zext	sub <- shl
2934	shl <- select	shl <- zext	sub <- shl	sub <- select
2934	shl <- zext	sub <- shl	sub <- select	icmp <- sub
2934	sub <- shl	sub <- select	icmp <- sub	icmp <- select
2934	sub <- select	icmp <- sub	icmp <- select	select <- icmp
2934	icmp <- sub	icmp <- select	select <- icmp	select <- icmp
2934	icmp <- select	select <- icmp	select <- icmp	br <- select
2934	select <- icmp	select <- icmp	br <- select	call <- trunc
2934	select <- icmp	br <- select	call <- trunc	call <- phi
2934	br <- select	call <- trunc	call <- phi	call <- phi
2934	call <- trunc	call <- phi	call <- phi	or <- icmp
2934	call <- phi	call <- phi	or <- icmp	or <- icmp
2934	call <- phi	or <- icmp	or <- icmp	br <- or
2923	or <- phi	ret <- or	ret <- phi	ret <- call
2738	call <- phi	icmp <- and	icmp <- and	or <- icmp
2503	ret <- phi	call <- call	icmp <- and	icmp <- and
2451	ret <- or	ret <- phi	call <- call	icmp <- and
2241	call <- load	call <- phi	icmp <- and	icmp <- and
2019	shl <- phi	add <- phi	shl <- phi	udiv <- shl
2019	add <- phi	shl <- phi	udiv <- shl	udiv <- select
2019	shl <- phi	udiv <- shl	udiv <- select	add <- udiv
2019	udiv <- shl	udiv <- select	add <- udiv	add <- shl
2019	udiv <- select	add <- udiv	add <- shl	urem <- shl
2019	add <- udiv	add <- shl	urem <- shl	urem <- select
2019	add <- shl	urem <- shl	urem <- select	icmp <- add
2019	urem <- shl	urem <- select	icmp <- add	br <- icmp
1771	and <- icmp	br <- and	icmp <- and	and <- or
1771	br <- and	icmp <- and	and <- or	icmp <- and
1771	icmp <- and	and <- or	icmp <- and	br <- icmp
1771	and <- or	icmp <- and	br <- icmp	icmp <- and
1771	icmp <- and	br <- icmp	icmp <- and	or <- icmp
1771	br <- icmp	icmp <- and	or <- icmp	or <- icmp
1771	or <- icmp	or <- icmp	br <- or	or <- icmp
1771	or <- icmp	br <- or	or <- icmp	or <- icmp
1771	br <- or	or <- icmp	or <- icmp	br <- or
1771	or <- icmp	br <- or	lshr <- xor	zext <- and
1771	br <- or	lshr <- xor	zext <- and	icmp <- and
1771	lshr <- xor	zext <- and	icmp <- and	icmp <- and
1771	select <- or	select <- or	select <- zext	icmp <- and
1771	select <- or	select <- zext	icmp <- and	and <- icmp
1771	select <- zext	icmp <- and	and <- icmp	and <- icmp
1771	and <- icmp	and <- lshr	add <- and	icmp <- and
1771	and <- lshr	add <- and	icmp <- and	and <- icmp
1771	add <- and	icmp <- and	and <- icmp	and <- icmp
1771	and <- icmp	and <- icmp	and <- lshr	sub <- and
1771	and <- icmp	and <- lshr	sub <- and	select <- and
1771	and <- lshr	sub <- and	select <- and	select <- sub
1771	sub <- and	select <- and	select <- sub	select <- and
1771	select <- and	select <- sub	select <- and	select <- add
1771	select <- sub	select <- and	select <- add	add <- select
1771	select <- add	add <- select	add <- select	shl <- phi
1771	add <- select	add <- select	shl <- phi	add <- phi
1771	add <- select	shl <- phi	add <- phi	shl <- phi
1771	urem <- select	icmp <- add	br <- icmp	trunc <- lshr
1771	icmp <- add	br <- icmp	trunc <- lshr	shl <- urem
1771	br <- icmp	trunc <- lshr	shl <- urem	icmp <- shl
1771	trunc <- lshr	shl <- urem	icmp <- shl	icmp <- select
1771	shl <- urem	icmp <- shl	icmp <- select	zext <- icmp
1771	icmp <- shl	icmp <- select	zext <- icmp	icmp <- shl
1771	icmp <- select	zext <- icmp	icmp <- shl	icmp <- select
1771	zext <- icmp	icmp <- shl	icmp <- select	icmp <- urem
1771	icmp <- shl	icmp <- select	icmp <- urem	zext <- icmp
1771	icmp <- select	icmp <- urem	zext <- icmp	select <- icmp
1771	icmp <- urem	zext <- icmp	select <- icmp	select <- zext
1771	zext <- icmp	select <- icmp	select <- zext	call <- trunc
1771	select <- icmp	select <- zext	call <- trunc	call <- add
1771	select <- zext	call <- trunc	call <- add	call <- add
1771	call <- trunc	call <- add	call <- add	call <- zext
1771	call <- add	call <- add	call <- zext	call <- select
1771	call <- add	call <- zext	call <- select	or <- icmp
1771	call <- zext	call <- select	or <- icmp	or <- icmp
1771	call <- select	or <- icmp	or <- icmp	br <- or
1629	select <- icmp	select <- icmp	br <- select	shl <- phi
1629	select <- icmp	br <- select	shl <- phi	add <- phi
1629	br <- select	shl <- phi	add <- phi	icmp <- phi
1629	shl <- phi	add <- phi	icmp <- phi	icmp <- phi
1629	add <- phi	icmp <- phi	icmp <- phi	select <- icmp
1629	icmp <- phi	icmp <- phi	select <- icmp	select <- icmp
1629	icmp <- phi	select <- icmp	select <- icmp	br <- select
1494	load <- getelementptr	call <- load	call <- phi	icmp <- and
1462	or <- phi	ret <- or	ret <- phi	call <- phi
1455	ret <- or	ret <- phi	ret <- call	call <- call
1008	ret <- phi	icmp <- and	icmp <- and	and <- icmp
996	ret <- phi	ret <- call	load <- getelementptr	call <- load
996	ret <- call	load <- getelementptr	call <- load	call <- phi
995	or <- phi	ret <- or	ret <- phi	icmp <- and
995	ret <- or	ret <- phi	icmp <- and	icmp <- and
992	ret <- or	ret <- phi	call <- phi	call <- call
992	ret <- phi	call <- phi	call <- call	icmp <- and
992	call <- phi	call <- call	icmp <- and	icmp <- and
981	trunc <- xor	ret <- phi	icmp <- call	br <- icmp
773	switch <- and	icmp <- and	br <- icmp	ret <- phi
760	or <- phi	ret <- or	ret <- phi	lshr <- call
760	ret <- or	ret <- phi	lshr <- call	sub <- lshr
760	ret <- phi	lshr <- call	sub <- lshr	call <- sub
760	lshr <- call	sub <- lshr	call <- sub	call <- sub
760	sub <- lshr	call <- sub	call <- sub	icmp <- and
760	call <- sub	call <- sub	icmp <- and	icmp <- and
760	call <- sub	icmp <- and	icmp <- and	and <- icmp
760	ret <- or	ret <- phi	ret <- call	call <- sub
760	ret <- phi	ret <- call	call <- sub	call <- call
760	ret <- call	call <- sub	call <- call	icmp <- and
760	call <- sub	call <- call	icmp <- and	icmp <- and
747	ret <- phi	ret <- call	call <- call	call <- call
747	ret <- call	call <- call	call <- call	icmp <- and
747	call <- call	call <- load	icmp <- and	icmp <- and
747	call <- load	icmp <- and	icmp <- and	or <- icmp
747	ret <- phi	ret <- call	call <- call	icmp <- and
747	ret <- call	call <- call	icmp <- and	icmp <- and
744	call <- phi	icmp <- and	icmp <- and	and <- icmp
708	icmp <- and	br <- icmp	ret <- phi	ret <- call
498	ret <- phi	ret <- call	call <- load	call <- phi
498	ret <- call	call <- load	call <- phi	icmp <- and
498	or <- phi	ret <- or	ret <- phi	load <- getelementptr
498	ret <- or	ret <- phi	load <- getelementptr	call <- call
498	ret <- phi	load <- getelementptr	call <- call	call <- load
498	load <- getelementptr	call <- call	call <- load	icmp <- and
497	ret <- or	ret <- phi	call <- call	call <- phi
497	ret <- phi	call <- call	call <- phi	icmp <- and
497	call <- call	call <- phi	icmp <- and	icmp <- and
496	ret <- phi	call <- phi	icmp <- and	icmp <- and
472	ret <- or	ret <- phi	ret <- call	load <- getelementptr
472	br <- icmp	ret <- phi	ret <- call	load <- getelementptr
470	ret <- or	ret <- phi	call <- phi	icmp <- and
394	ret <- phi	icmp <- call	br <- icmp	load <- getelementptr
394	icmp <- call	br <- icmp	load <- getelementptr	call <- load
394	br <- icmp	load <- getelementptr	call <- load	call <- phi
249	add <- phi	icmp <- phi	br <- icmp	call <- load
249	icmp <- phi	br <- icmp	call <- load	call <- phi
249	br <- icmp	call <- load	call <- phi	icmp <- and
249	ret <- or	ret <- phi	call <- call	call <- load
249	ret <- phi	call <- call	call <- load	icmp <- and
248	urem <- select	icmp <- add	br <- icmp	shl <- phi
248	icmp <- add	br <- icmp	shl <- phi	add <- phi
248	br <- icmp	shl <- phi	add <- phi	shl <- phi
248	ret <- phi	icmp <- call	br <- icmp	add <- phi
248	icmp <- call	br <- icmp	add <- phi	icmp <- phi
248	br <- icmp	add <- phi	icmp <- phi	br <- icmp
236	ret <- or	ret <- phi	ret <- call	call <- load
236	br <- icmp	ret <- phi	ret <- call	call <- load
182	ret <- phi	icmp <- call	br <- icmp	call <- call
182	icmp <- call	br <- icmp	call <- call	icmp <- and
182	br <- icmp	call <- call	icmp <- and	icmp <- and
170	ret <- phi	icmp <- call	br <- icmp	call <- phi
170	icmp <- call	br <- icmp	call <- phi	icmp <- and
170	br <- icmp	call <- phi	icmp <- and	icmp <- and
169	icmp <- and	br <- icmp	switch <- and	ret <- phi
117	br <- icmp	switch <- and	ret <- phi	ret <- call
91	icmp <- lshr	icmp <- lshr	br <- icmp	icmp <- lshr
91	icmp <- lshr	br <- icmp	icmp <- lshr	icmp <- lshr
91	br <- icmp	icmp <- lshr	icmp <- lshr	zext <- icmp
91	icmp <- lshr	icmp <- lshr	zext <- icmp	ret <- phi
91	icmp <- lshr	zext <- icmp	ret <- phi	icmp <- call
90	ret <- phi	icmp <- call	select <- icmp	select <- call
78	or <- icmp	or <- icmp	br <- or	and <- xor
78	or <- icmp	br <- or	and <- xor	ret <- phi
78	br <- or	and <- xor	ret <- phi	call <- call
78	icmp <- call	select <- icmp	select <- call	load <- getelementptr
78	select <- icmp	select <- call	load <- getelementptr	call <- load
78	select <- call	load <- getelementptr	call <- load	call <- phi
78	ret <- phi	icmp <- call	select <- icmp	select <- phi
78	icmp <- call	select <- icmp	select <- phi	select <- icmp
78	select <- icmp	select <- phi	select <- icmp	select <- phi
78	select <- phi	select <- icmp	select <- phi	select <- call
78	select <- icmp	select <- phi	select <- call	call <- phi
78	select <- phi	select <- call	call <- phi	icmp <- and
78	select <- call	call <- phi	icmp <- and	icmp <- and
65	and <- xor	ret <- phi	call <- call	call <- call
65	zext <- icmp	ret <- phi	icmp <- call	select <- icmp
52	br <- icmp	switch <- and	ret <- phi	call <- call
52	switch <- and	ret <- phi	ret <- call	load <- getelementptr
41	or <- icmp	or <- icmp	br <- or	ret <- phi
41	or <- icmp	br <- or	ret <- phi	icmp <- call
39	icmp <- call	shl <- call	select <- icmp	select <- shl
39	shl <- call	select <- icmp	select <- shl	select <- call
39	select <- icmp	select <- shl	select <- call	select <- icmp
39	select <- shl	select <- call	select <- icmp	trunc <- lshr
39	select <- call	select <- icmp	trunc <- lshr	icmp <- select
39	select <- icmp	trunc <- lshr	icmp <- select	br <- icmp
39	trunc <- lshr	icmp <- select	br <- icmp	trunc <- phi
39	icmp <- select	br <- icmp	trunc <- phi	and <- trunc
39	br <- icmp	trunc <- phi	and <- trunc	zext <- and
39	select <- icmp	select <- icmp	br <- select	icmp <- and
39	select <- icmp	br <- select	icmp <- and	br <- icmp
39	br <- select	icmp <- and	br <- icmp	icmp <- phi
39	icmp <- and	br <- icmp	icmp <- phi	zext <- icmp
39	and <- add	or <- and	or <- and	shl <- trunc
39	or <- and	or <- and	shl <- trunc	or <- phi
39	or <- and	shl <- trunc	or <- phi	or <- phi
39	shl <- trunc	or <- phi	or <- phi	ret <- phi
39	switch <- and	ret <- phi	ret <- call	call <- call
28	br <- or	ret <- phi	icmp <- call	select <- icmp
26	switch <- and	ret <- phi	ret <- call	call <- load
26	switch <- and	ret <- phi	call <- call	call <- call
26	switch <- and	ret <- phi	call <- call	icmp <- and
26	icmp <- and	br <- icmp	ret <- phi	call <- call
26	icmp <- and	br <- icmp	ret <- phi	call <- phi
26	br <- icmp	ret <- phi	call <- phi	icmp <- and
26	zext <- icmp	ret <- phi	icmp <- call	zext <- icmp
26	ret <- phi	icmp <- call	zext <- icmp	select <- icmp
26	icmp <- call	zext <- icmp	select <- icmp	select <- call
26	zext <- icmp	select <- icmp	select <- call	select <- phi
26	select <- icmp	select <- call	select <- phi	load <- getelementptr
26	select <- call	select <- phi	load <- getelementptr	call <- load
26	select <- phi	load <- getelementptr	call <- load	call <- phi
13	call <- add	icmp <- call	shl <- call	select <- icmp
13	or <- phi	or <- phi	ret <- phi	sub <- phi
13	or <- phi	ret <- phi	sub <- phi	call <- sub
13	ret <- phi	sub <- phi	call <- sub	icmp <- call
13	sub <- phi	call <- sub	icmp <- call	shl <- call
13	call <- sub	icmp <- call	shl <- call	select <- icmp
13	or <- phi	or <- phi	ret <- phi	icmp <- call
13	or <- phi	ret <- phi	icmp <- call	shl <- call
13	ret <- phi	icmp <- call	shl <- call	select <- icmp
13	or <- phi	or <- phi	ret <- phi	call <- call
13	or <- phi	ret <- phi	call <- call	call <- call
13	or <- phi	ret <- or	ret <- phi	call <- alloca
13	ret <- or	ret <- phi	call <- alloca	call <- call
13	ret <- phi	call <- alloca	call <- call	call <- call
13	call <- alloca	call <- call	call <- call	call <- call
13	call <- call	call <- call	call <- call	add <- phi
13	call <- call	call <- call	add <- phi	icmp <- phi
13	call <- call	add <- phi	icmp <- phi	br <- icmp
13	br <- or	ret <- phi	icmp <- call	br <- icmp
13	br <- icmp	ret <- phi	call <- call	call <- call
13	and <- xor	ret <- phi	call <- call	icmp <- and
13	br <- icmp	ret <- phi	call <- call	icmp <- and
13	icmp <- and	br <- icmp	ret <- phi	icmp <- and
13	br <- icmp	ret <- phi	icmp <- and	icmp <- and
12	add <- phi	icmp <- phi	br <- icmp	ret <- phi
12	icmp <- phi	br <- icmp	ret <- phi	icmp <- call
12	br <- icmp	ret <- phi	icmp <- call	select <- icmp
12	icmp <- call	select <- icmp	select <- call	getelementptr <- alloca
12	select <- icmp	select <- call	getelementptr <- alloca	getelementptr <- phi
12	select <- call	getelementptr <- alloca	getelementptr <- phi	getelementptr <- phi
12	getelementptr <- alloca	getelementptr <- phi	getelementptr <- phi	store <- select
12	getelementptr <- phi	getelementptr <- phi	store <- select	store <- getelementptr
12	getelementptr <- phi	store <- select	store <- getelementptr	add <- phi
12	store <- select	store <- getelementptr	add <- phi	icmp <- add
12	store <- getelementptr	add <- phi	icmp <- add	br <- icmp
12	add <- phi	icmp <- add	br <- icmp	call <- add
12	icmp <- add	br <- icmp	call <- add	icmp <- call
12	br <- icmp	call <- add	icmp <- call	shl <- call
3	or <- phi	ret <- or	ret <- phi	store <- call
2	getelementptr <- alloca	icmp <- and	icmp <- and	and <- icmp
2	ret <- or	ret <- phi	store <- call	store <- getelementptr
1	call <- alloca	icmp <- and	icmp <- and	and <- icmp
1	ret <- or	ret <- phi	store <- call	store <- alloca
1	ret <- phi	store <- call	store <- alloca	getelementptr <- alloca
1	store <- call	store <- alloca	getelementptr <- alloca	icmp <- and
1	store <- alloca	getelementptr <- alloca	icmp <- and	icmp <- and
1	ret <- phi	store <- call	store <- getelementptr	getelementptr <- alloca
1	store <- call	store <- getelementptr	getelementptr <- alloca	icmp <- and
1	store <- getelementptr	getelementptr <- alloca	icmp <- and	icmp <- and
1	ret <- phi	store <- call	store <- getelementptr	call <- alloca
1	store <- call	store <- getelementptr	call <- alloca	call <- alloca
1	store <- getelementptr	call <- alloca	call <- alloca	add <- phi
1	call <- alloca	call <- alloca	add <- phi	call <- add
1	call <- alloca	add <- phi	call <- add	icmp <- call
1	add <- phi	call <- add	icmp <- call	shl <- call
